issue_number	node_id	former_url	source_state	raw_sha256	governed_destination	architecture_coverage	local_status	cutover_action	merged_commit
31	I_kwDOONYVBs8AAAABB07a7A	https://github.com/pdomain/pdomain-book-tools/issues/31	CLOSED	d53cd5d3160317e54a3d6b10643404b643a67160d9a0fb69fe03c2fb783a644a	This ledger; `docs/architecture/reorganize-page-pipeline.md`; `pdomain_book_tools/ocr/page.py`; `pdomain_book_tools/ocr/reorganize_page_utils.py`; reorganize tests	`Page.reorganize_page` and its pipeline remain implemented; current architecture supersedes the cited spec	Completed; architecture promotion in `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
32	I_kwDOONYVBs8AAAABB07bTw	https://github.com/pdomain/pdomain-book-tools/issues/32	CLOSED	2850570d7533e763a83aadd065d6b5b614391588b1a68a63a2cf57dc2fa5e35a	This ledger; `docs/architecture/layout-regression-fixture-corpus.md`; layout and reorganize fixture tests	The fixture corpus, per-case artifacts, regeneration tools, and baseline policy remain implemented	Completed; architecture promotion in `b88b62c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
33	I_kwDOONYVBs8AAAABB07bxA	https://github.com/pdomain/pdomain-book-tools/issues/33	CLOSED	51d4739b3034db307ea2eab185709ef1d9e1ee8a7a182d4f2f6a43f8811978e2	This ledger; `docs/architecture/glyph-annotations.md`; issue #41 implementation evidence	Mislabeled duplicate of canonical feature request #41; the glyph contract shipped in `675ad76`	Superseded by #41	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
35	I_kwDOONYVBs8AAAABB3LObQ	https://github.com/pdomain/pdomain-book-tools/issues/35	CLOSED	b3d590b69d90603afa5406e4e1b2ce215b69ebc9baadccebc399a48e8c2766eb	This ledger; geometry repr implementation and tests	The request became spec #36; `BoundingBox.__repr__` now emits the spec's eval-safe `from_ltrb` form	Completed; commit `b4c5b8c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
36	I_kwDOONYVBs8AAAABB3LaTw	https://github.com/pdomain/pdomain-book-tools/issues/36	CLOSED	9b9917d8d6d772a2e6f00865e574054d1f189cfe30d5da8fc385b051dbe48b38	This ledger; geometry repr implementation and tests	The repr contract chose eval-safe `BoundingBox.from_ltrb(...)`, positional `Point(...)`, and no other geometry types	Implemented; commit `b4c5b8c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
38	I_kwDOONYVBs8AAAABB3MeOQ	https://github.com/pdomain/pdomain-book-tools/issues/38	CLOSED	7e3fdcf0cb3906d5cf10cb365bcbb0688e03fb7f0dc365e1c92fde6f33a391a4	This ledger; `pdomain_book_tools/geometry/bounding_box.py`; repr tests	`BoundingBox.__repr__` uses the corrected `from_ltrb` contract rather than the issue body's invalid four-argument constructor form	Completed; commit `b4c5b8c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
39	I_kwDOONYVBs8AAAABB3MfGw	https://github.com/pdomain/pdomain-book-tools/issues/39	CLOSED	5424bd1958c4dbf8927f0f284b839e83cc7e869ef48966a680946e1e40fa2346	This ledger; `pdomain_book_tools/geometry/point.py`; repr tests	`Point.__repr__` returns the requested positional form for integer and fractional coordinates	Completed; commit `b4c5b8c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
40	I_kwDOONYVBs8AAAABB3MgMw	https://github.com/pdomain/pdomain-book-tools/issues/40	CLOSED	b90696134e506158a1df97265e00bd7a3446df9459a73eaada62b5998377e974	This ledger; `tests/test_geometry_repr.py`; geometry repr tests	The tests were absorbed into PR #50 after blocker #51 corrected the BoundingBox form	Completed in squash merge `b4c5b8c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
41	I_kwDOONYVBs8AAAABB3MuEw	https://github.com/pdomain/pdomain-book-tools/issues/41	CLOSED	ee2438437c67de6577ac92d9ef241007770cb6e70ec0a4d9f03fa8c5154bd9b5	This ledger; `docs/architecture/glyph-annotations.md`; glyph implementation and tests	Glyph facts remain a side channel on `Word` and do not mutate canonical ground-truth text	Completed; merge `675ad76`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
42	I_kwDOONYVBs8AAAABB3RyAQ	https://github.com/pdomain/pdomain-book-tools/issues/42	CLOSED	dc421b541e3c7126516360015d77c9f06868e8f4e06c7c31cca8e555d652f007	This ledger; `Makefile`	`make ci` now runs an unconditional full-repository Ruff format and check gate	Completed; commit `e57a52c`	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
43	I_kwDOONYVBs8AAAABB3a1Sw	https://github.com/pdomain/pdomain-book-tools/issues/43	CLOSED	021ff1e31a1d5e3b6dd590d507f4e6def1f2ed03d1c2747156bab8ea3368e041	docs/issues/2026-05-11-gh-043-style-review-detect-subprocess-failure.md	The local issue only claims a refile to `ocr-container-meta#1`; this batch did not verify that external record or a fix	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
44	I_kwDOONYVBs8AAAABB3a1uQ	https://github.com/pdomain/pdomain-book-tools/issues/44	CLOSED	80abdf9870d18d98ca73ff442cee19bd906faac59271656ca6e81ebfdf93e058	This ledger; immutable raw export; `ConcaveTrillion/ocr-container-meta#2`	The PR-body metadata bug belongs to cross-cut workspace tooling, not this library; AGENTS.md routes that work to the meta tracker	Superseded by meta-repository tracking	Deleted and verified; deletion journal completed-003	6842ec6b11c06c9b987b384b4abf7e9dc4699014
45	I_kwDOONYVBs8AAAABB3sQow	https://github.com/pdomain/pdomain-book-tools/issues/45	OPEN	62a032d97e24774e60cd7d3c73e3232734f1516208f2105ed50a69a07d06a058	docs/issues/2026-05-11-gh-045-spec-decoration-figure-post-classification.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
46	I_kwDOONYVBs8AAAABB3sRcw	https://github.com/pdomain/pdomain-book-tools/issues/46	OPEN	d15e63d11ec0b1270b7496dbc14061de15cbe7966ffb0ef9c0d27b2ae4d0e703	docs/issues/2026-05-11-gh-046-spec-sidenote-height-ratio-default.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
47	I_kwDOONYVBs8AAAABB3sSGg	https://github.com/pdomain/pdomain-book-tools/issues/47	OPEN	110b143a1ca11042b5fb1e4bf3b22d24e6ce1c9313d204f65a720f19d991c1a3	docs/issues/2026-05-11-gh-047-spec-sidenote-projection-x-height.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
48	I_kwDOONYVBs8AAAABB3sS2A	https://github.com/pdomain/pdomain-book-tools/issues/48	OPEN	5287548fc16d7c680327f851f0525aeb6d1319cf131e0ac91a11d10b3e507ee5	docs/issues/2026-05-11-gh-048-spec-drop-cap-heading-cross-check.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
49	I_kwDOONYVBs8AAAABB3sToQ	https://github.com/pdomain/pdomain-book-tools/issues/49	OPEN	a48c62febdaae3cc0bd9be097eb3feb46223c1f09d05b60a7a489ce9a2fcf885	docs/issues/2026-05-11-gh-049-spec-sidenote-aware-row-blocks.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-003	66a71c7ac05589428c98995508e2639e4e95642c
51	I_kwDOONYVBs8AAAABB4IuFg	https://github.com/pdomain/pdomain-book-tools/issues/51	CLOSED	ddcce13f3f64f8e5c425fa1c8f5e1de698d4d1b541b738b26242cf5205fd758d	This ledger; `pdomain_book_tools/geometry/bounding_box.py`; `tests/test_geometry_repr.py`; `tests/geometry/test_bounding_box.py`	`BoundingBox.__repr__` emits the eval-safe `BoundingBox.from_ltrb(...)` form and the tests pin its format and round trip	Implemented; commit `2bec8db`	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
52	I_kwDOONYVBs8AAAABCUu_xw	https://github.com/pdomain/pdomain-book-tools/issues/52	CLOSED	c886d9b4f39387f9c0df368581d999b092ccc35bfc4f57c8d3bcc605d42e8490	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; `docs/architecture/page-serialization.md`; review metadata code and tests	The requested top-level `Word.is_validated` and setter were rejected; persisted validation lives at `word.review.validated` to preserve `ReviewMetadata` encapsulation	Abandoned / won't do; superseded by commit `60d0fc8` contract	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
53	I_kwDOONYVBs8AAAABCUyUaA	https://github.com/pdomain/pdomain-book-tools/issues/53	CLOSED	c7f409ac8965db8ba397f948df60ed430f7072ea1b016db606d66c28b33cefb8	This ledger; immutable raw export; existing line and page APIs	The current per-word workflow uses `Line.merge_word_left` / `merge_word_right`; pixel erasure can mutate the Page image and then call `finalize_page_structure`	Abandoned tracking request; no library change needed	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
54	I_kwDOONYVBs8AAAABCfeCIw	https://github.com/pdomain/pdomain-book-tools/issues/54	CLOSED	d3e61adc8792f5589c9b5740e2f748e1e97668ca49338c0bf95ede2f1b70cf69	docs/issues/2026-05-17-gh-054-monthly-grooming.md	The May 2026 run found an empty queue, deleted `STATUS.md`, and archived strict-linting research; no evidence proves that the named recurring automation remains current	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
55	I_kwDOONYVBs8AAAABCgaSuQ	https://github.com/pdomain/pdomain-book-tools/issues/55	CLOSED	f23e483e6a0ed1481533710cab55b8c28aa6ca1182aebb7c061a3cb06534838f	This ledger; immutable raw export; meta-repository cross-cut tracking	Pipeline-foundation planning belongs to the workspace-wide workflow system named by AGENTS.md	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
56	I_kwDOONYVBs8AAAABCgaS3A	https://github.com/pdomain/pdomain-book-tools/issues/56	CLOSED	08cd1949b1a73f3d75fad31c09a0eac07791a14aeec0ab732eb0797fb1c0e507	This ledger; immutable raw export; meta-repository cross-cut tracking	Skill-prompt planning belongs to the workspace-wide workflow system named by AGENTS.md	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
57	I_kwDOONYVBs8AAAABCgaS_Q	https://github.com/pdomain/pdomain-book-tools/issues/57	CLOSED	e7e0ab33db019cbe59984ff2a9ee3ea175e147a79b37bb2351e0be139f3235af	This ledger; immutable raw export; meta-repository cross-cut tracking	Grooming-system planning belongs to the workspace-wide workflow system named by AGENTS.md	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
58	I_kwDOONYVBs8AAAABCgak9g	https://github.com/pdomain/pdomain-book-tools/issues/58	CLOSED	8ff6df861e3ff25a7a09366b895f1e4f066d4231b80d608a10bc7aeb4d01d84e	This ledger; immutable raw export; meta-repository cross-cut tracking	`ship-issue-pick.py` is cross-cut workflow tooling; its source issue was migrated to the meta repository	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
59	I_kwDOONYVBs8AAAABCgalFA	https://github.com/pdomain/pdomain-book-tools/issues/59	CLOSED	ab85ed796c243d0acef8658e584b8d38a873777a9f2b8c405288283ace95fe5b	This ledger; immutable raw export; meta-repository cross-cut tracking	`decompose-spec-sync.py` is cross-cut workflow tooling; its source issue was migrated to the meta repository	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
60	I_kwDOONYVBs8AAAABCgalMA	https://github.com/pdomain/pdomain-book-tools/issues/60	CLOSED	49bfbbdb1fc05ac4a0adaaba520ecbb00303543ce8f8dcb38f9209479626dae0	This ledger; immutable raw export; meta-repository cross-cut tracking	The plan-sync implementation belongs to cross-cut workflow tooling; commit `cc783c5` confirms that this repository routes such work to `ConcaveTrillion/ocr-container-meta`	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
61	I_kwDOONYVBs8AAAABCgalSg	https://github.com/pdomain/pdomain-book-tools/issues/61	CLOSED	bc2618bba4ee61b1c55564bc9baefb20fb2ca31cf3f190367b3d42aa392ffac1	This ledger; immutable raw export; commits `167995f`, `66ea04f`, and `cc783c5`; meta-repository cross-cut tracking	The decision template was added locally, then removed after moving to organization-wide coverage; the remaining label and skill work is cross-cut	Superseded by organization-wide and meta-repository tracking; no claim that every requested slice shipped locally	Deleted and verified; deletion journal completed-004	6842ec6b11c06c9b987b384b4abf7e9dc4699014
62	I_kwDOONYVBs8AAAABCgaltw	https://github.com/pdomain/pdomain-book-tools/issues/62	CLOSED	a47b902bbf474c4f9d134855eea7d68ee7a72c6bdaaa6cd137423b3536e56e0c	This ledger; immutable raw export; meta-repository cross-cut tracking	The Plan A final integration check belongs to cross-cut workflow tooling; commit `cc783c5` confirms the later tracking destination	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
63	I_kwDOONYVBs8AAAABCgamEA	https://github.com/pdomain/pdomain-book-tools/issues/63	CLOSED	399d0b21f89f195086b727459093a95e76570605bf83cd0afbce8df7c4dbff6c	This ledger; immutable raw export; meta-repository cross-cut tracking	The triage-skill outcome change belongs to cross-cut skill tooling; commit `cc783c5` confirms the later tracking destination	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
64	I_kwDOONYVBs8AAAABCgamLA	https://github.com/pdomain/pdomain-book-tools/issues/64	CLOSED	d451aa8ad88fc8808ec3e43996956fa9e4d6d03ffe70b9a7dc0ad62430bfe0cc	This ledger; immutable raw export; meta-repository cross-cut tracking	The spec-from-issue convention change belongs to cross-cut skill tooling; commit `cc783c5` confirms the later tracking destination	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
65	I_kwDOONYVBs8AAAABCgamTw	https://github.com/pdomain/pdomain-book-tools/issues/65	CLOSED	a62915785c13f7e935d3fa8dbad7b79b0f560383add151be93b113f1a4ab4fb4	docs/issues/2026-05-17-gh-065-decompose-spec-flags.md	A contemporaneous comment reports completion of the decompose-spec flag change in an external workflow session, but this repository contains no corresponding artifact or independent proof	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
66	I_kwDOONYVBs8AAAABCgamgw	https://github.com/pdomain/pdomain-book-tools/issues/66	CLOSED	b264dcb22465d437ae61f3f0160d836aa8b13c4414d78a2b7891101225930785	This ledger; immutable raw export; meta-repository cross-cut tracking	The ship-issue context-read change belongs to cross-cut skill tooling; commit `cc783c5` confirms the later tracking destination	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
67	I_kwDOONYVBs8AAAABCgam7Q	https://github.com/pdomain/pdomain-book-tools/issues/67	CLOSED	76f5339307ccfa717bd324a3d5d1073b1d008e613e9a354594584fe0a5cc0283	This ledger; immutable raw export; meta-repository cross-cut tracking	The eight-agent-prompt change belongs to cross-cut workflow tooling; no local implementation evidence was found	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
68	I_kwDOONYVBs8AAAABCganAg	https://github.com/pdomain/pdomain-book-tools/issues/68	CLOSED	e3cc70843fce586157ac66f82e5bf7b450c191b7b97ab21fb1ecffd2fd9764c3	This ledger; immutable raw export; meta-repository cross-cut tracking	The brainstorming-skill patch belongs to cross-cut skill tooling; commit `cc783c5` confirms the later tracking destination	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
